pop_size,t_size,m_rate,score
20,1,1,2.58596
20,1,8,0.75493
20,1,15,0.79598
20,1,22,0.29844
20,1,29,0.80830
20,1,36,1.15228
20,3,1,0.49330
20,3,8,1.16589
20,3,15,0.22394
20,3,22,0.91109
20,3,29,0.72861
20,3,36,0.48742
20,5,1,0.32807
20,5,8,0.49090
20,5,15,0.89419
20,5,22,0.87976
20,5,29,0.55621
20,5,36,0.91569
20,7,1,0.36302
20,7,8,0.42989
20,7,15,1.00319
20,7,22,0.35619
20,7,29,0.60499
20,7,36,0.80317
20,9,1,0.39109
20,9,8,0.16554
20,9,15,0.56135
20,9,22,0.49182
20,9,29,0.80305
20,9,36,1.07505
20,11,1,0.96870
20,11,8,0.53824
20,11,15,0.54932
20,11,22,0.77977
20,11,29,0.95673
20,11,36,1.92601
20,13,1,0.53548
20,13,8,0.48839
20,13,15,0.77145
20,13,22,0.62258
20,13,29,0.78564
20,13,36,0.80721
25,1,1,0.63595
25,1,8,0.58337
25,1,15,0.38423
25,1,22,1.59182
25,1,29,0.40712
25,1,36,0.64989
25,3,1,0.66099
25,3,8,0.26609
25,3,15,1.01314
25,3,22,1.10464
25,3,29,1.10268
25,3,36,1.31691
25,5,1,0.68880
25,5,8,0.61652
25,5,15,0.58600
25,5,22,0.57066
25,5,29,0.30399
25,5,36,0.66537
25,7,1,0.69947
25,7,8,0.62725
25,7,15,0.52279
25,7,22,1.01146
25,7,29,0.90595
25,7,36,0.67046
25,9,1,0.53808
25,9,8,1.73772
25,9,15,0.52025
25,9,22,0.70956
25,9,29,0.82651
25,9,36,0.81278
25,11,1,0.66467
25,11,8,1.47679
25,11,15,1.34797
25,11,22,0.85724
25,11,29,0.80786
25,11,36,0.37106
25,13,1,0.82102
25,13,8,0.51635
25,13,15,0.69415
25,13,22,0.36178
25,13,29,0.45439
25,13,36,3.50769
25,15,1,2.88604
25,15,8,0.46658
25,15,15,1.64493
25,15,22,0.73413
25,15,29,0.55032
25,15,36,1.15235
25,17,1,0.51800
25,17,8,0.39906
25,17,15,0.51506
25,17,22,1.18400
25,17,29,1.02313
25,17,36,1.03831
